equipment_id,temperature,humidity,pressure,failure
1,25,60,1013,0
2,23,55,1012,1
3,27,58,1014,0
4,24,62,1011,1
5,26,59,1013,0
6,27,60,1014,0
7,28,61,1015,1
8,29,62,1016,1
9,30,63,1017,0
10,31,64,1018,1
11,32,65,1019,0
12,33,66,1020,0
13,34,67,1021,1
14,35,68,1022,1
15,36,69,1023,0
16,37,70,1024,1
17,38,71,1025,0
18,39,72,1026,0
19,40,73,1027,1
20,41,74,1028,1
21,42,75,1029,0
22,43,76,1030,1
23,44,77,1031,0
24,45,78,1032,0
25,46,79,1033,1
26,47,80,1034,1
27,48,81,1035,0
28,49,82,1036,1
29,50,83,1037,0
30,51,84,1038,0
31,52,85,1039,1
32,53,86,1040,1
33,54,87,1041,0
34,55,88,1042,1
35,56,89,1043,0
36,57,90,1044,0
37,58,91,1045,1
38,59,92,1046,1
39,60,93,1047,0
40,61,94,1048,1
41,62,95,1049,0
42,63,96,1050,0
43,64,97,1051,1
44,65,98,1052,1
45,66,99,1053,0
46,67,100,1054,1
47,68,101,1055,0
48,69,102,1056,0
49,70,103,1057,1
50,71,104,1058,1
51,72,105,1059,0
52,73,106,1060,1
53,74,107,1061,0
54,75,108,1062,0
55,76,109,1063,1
56,77,110,1064,0
57,78,111,1065,0
58,79,112,1066,1
59,80,113,1067,1
60,81,114,1068,0
61,82,115,1069,1
62,83,116,1070,0
63,84,117,1071,0
64,85,118,1072,1
65,86,119,1073,1
66,87,120,1074,0
67,88,121,1075,1
68,89,122,1076,0
69,90,123,1077,0
70,91,124,1078,1
71,92,125,1079,1
72,93,126,1080,0
73,94,127,1081,1
74,95,128,1082,0
75,96,129,1083,0
76,97,130,1084,1
77,98,131,1085,1
78,99,132,1086,0
79,100,133,1087,1
80,101,134,1088,0
81,102,135,1089,0
82,103,136,1090,1
83,104,137,1091,1
84,105,138,1092,0
85,106,139,1093,1
86,107,140,1094,0
87,108,141,1095,0
88,109,142,1096,1
89,110,143,1097,1
90,111,144,1098,0
91,112,145,1099,1
92,113,146,1100,0
93,114,147,1101,0
94,115,148,1102,1
95,116,149,1103,1
96,117,150,1104,0
97,118,151,1105,1
98,119,152,1106,0
99,120,153,1107,0
100,121,154,1108,1
101,122,155,1109,1
102,123,156,1110,0
103,124,157,1111,1
104,125,158,1112,0
105,126,159,1113,0
106,127,160,1114,1
107,128,161,1115,0
108,129,162,1116,0
109,130,163,1117,1
110,131,164,1118,1
111,132,165,1119,0
112,133,166,1120,1
113,134,167,1121,0
114,135,168,1122,0
115,136,169,1123,1
116,137,170,1124,1
117,138,171,1125,0
118,139,172,1126,1
119,140,173,1127,0
120,141,174,1128,0
121,142,175,1129,1
122,143,176,1130,1
123,144,177,1131,0
124,145,178,1132,1
125,146,179,1133,0
126,147,180,1134,0
127,148,181,1135,1
128,149,182,1136,1
129,150,183,1137,0
130,151,184,1138,1
131,152,185,1139,0
132,153,186,1140,0
133,154,187,1141,1
134,155,188,1142,1
135,156,189,1143,0
136,157,190,1144,1
137,158,191,1145,0
138,159,192,1146,0
139,160,193,1147,1
140,161,194,1148,1
141,162,195,1149,0
142,163,196,1150,1
143,164,197,1151,0
144,165,198,1152,0
145,166,199,1153,1
146,167,200,1154,1
147,168,201,1155,0
148,169,202,1156,1
149,170,203,1157,0
150,171,204,1158,0
151,172,205,1159,1
152,173,206,1160,1
153,174,207,1161,0
154,175,208,1162,1
155,176,209,1163,0
156,177,210,1164,0
157,178,211,1165,1
158,179,212,1166,0
159,180,213,1167,0
160,181,214,1168,1
161,182,215,1169,1
162,183,216,1170,0
163,184,217,1171,1
164,185,218,1172,0
165,186,219,1173,0
166,187,220,1174,1
167,188,221,1175,1
168,189,222,1176,0
169,190,223,1177,1
170,191,224,1178,0
171,192,225,1179,0
172,193,226,1180,1
173,194,227,1181,1
174,195,228,1182,0
175,196,229,1183,1
176,197,230,1184,0
177,198,231,1185,0
178,199,232,1186,1
179,200,233,1187,1
180,201,234,1188,0
181,202,235,1189,1
182,203,236,1190,0
183,204,237,1191,0
184,205,238,1192,1
185,206,239,1193,1
186,207,240,1194,0
187,208,241,1195,1
188,209,242,1196,0
189,210,243,1197,0
190,211,244,1198,1
191,212,245,1199,1
192,213,246,1200,0
193,214,247,1201,1
194,215,248,1202,0
195,216,249,1203,0
196,217,250,1204,1
197,218,251,1205,1
198,219,252,1206,0
199,220,253,1207,1
200,221,254,1208,0
201,222,255,1209,0
202,223,256,1210,1
203,224,257,1211,1
204,225,258,1212,0
205,226,259,1213,1
206,227,260,1214,0
